location_name,measure_name,cause_name,sex_name,selected_model,year,forecast,lower_95,upper_95
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,ARIMA,2029,294.527168111303,289.79193542342233,299.2624007991837
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Both,ARIMA,2030,295.94710766496587,290.42434855212116,301.4698667778106
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,ARIMA,2024,244.15358363058226,243.74176675586537,244.56540050529915
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,ARIMA,2025,244.30952067132858,243.18668791401882,245.43235342863835
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,ARIMA,2026,244.54546435119155,242.50475936515357,246.58616933722953
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,ARIMA,2027,245.02671417286547,241.99901349145853,248.0544148542724
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,ARIMA,2028,245.82410982368256,241.8630342226663,249.78518542469882
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,ARIMA,2029,246.92093393856183,242.1622625165355,251.67960536058817
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Female,ARIMA,2030,248.23768856501005,242.85114955691824,253.62422757310185
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,ARIMA,2024,332.10578939667056,331.6896557988672,332.5219229944739
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,ARIMA,2025,337.61510560667386,336.06935990423557,339.16085130911216
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,ARIMA,2026,342.5904058310172,339.2178706348483,345.96294102718616
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,ARIMA,2027,346.0645810476598,340.5068069798972,351.62235511542235
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,ARIMA,2028,348.0516326096082,340.37175083533396,355.7315143838824
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,ARIMA,2029,349.32032612493924,339.8459917379653,358.7946605119132
Central Sub-Saharan Africa,Incidence,Diabetes mellitus type 2,Male,ARIMA,2030,350.716939087355,339.80904869121974,361.62482948349026
